PLAYER_NAME,PERFORMANCE_2P,PERFORMANCE_3P,PERFORMANCE_FT,SHOTS_SUM,SHOTS_SUM_2P,SHOTS_SUM_3P,SHOTS_SUM_FT,SHOTS_SUM_PRES_2P,SHOTS_SUM_PRES_3P,SHOTS_SUM_PRES_FT,PERFORMANCE_2P_no_pres,PERFORMANCE_3P_no_pres,SHOTS_SUM_no_pres,SHOTS_SUM_2P_no_pres,SHOTS_SUM_3P_no_pres,SHOTS_SUM_FT_no_pres,PERFORMANCE_FT_no_pres,SHOTS_SUM_cat_1,SHOTS_SUM_2P_cat_1,SHOTS_SUM_3P_cat_1,SHOTS_SUM_FT_cat_1,SHOTS_SUM_cat_2,SHOTS_SUM_2P_cat_2,SHOTS_SUM_3P_cat_2,SHOTS_SUM_FT_cat_2,PERFORMANCE_2P_DELTA_cat_1,PERFORMANCE_3P_DELTA_cat_1,PERFORMANCE_FT_DELTA_cat_1,PERFORMANCE_2P_DELTA_cat_2,PERFORMANCE_3P_DELTA_cat_2,PERFORMANCE_FT_DELTA_cat_2,SHOTTREND_2P,SHOTTREND_3P,SHOTTREND_FT,AST_TREND,TO_TREND,AST/TO_TREND,AST_SUM,TO_SUM
Kentavious Caldwell-Pope,-0.04281924714166994,-0.12480432581383415,0.05779293670773956,376,167,85,124,8,3,8,-0.04516927518768849,-0.11279388006354603,357,159,82,116,0.062495993977368595,11,5,0,6,8,3,3,2,0.0815743712997649,0.11279388006354603,-0.14862910483269987,-0.005139057604574532,-0.3402959629248291,0.15429776378109916,-5.200126063662158,-30.154798761609914,27.674023769100174,0.0,0.0,0.0,135,57
Kent Bazemore,-0.03185612853596542,0.11075274263784265,0.09183344201556434,305,140,78,87,10,5,4,-0.06448091790736055,0.12135135507307683,286,130,73,83,0.08507857222748379,6,3,1,2,13,7,4,2,0.14444925386522323,-0.27519750891923067,0.16212165025051828,0.5905889643428068,-0.13787356525725886,0.131715185530984,14.661654135338331,2.9014844804318596,-26.194797338173025,0.0,0.0,0.0,123,64
LeBron James,0.03845247057896557,-0.06896350432340415,-0.05013555645955465,607,296,46,265,25,4,25,0.03878921842338257,-0.060183815644270056,553,271,42,240,-0.04688784487789706,15,8,3,4,39,17,1,21,0.10058994320916517,-0.005638737063737909,0.278884834996132,-0.05319981809533825,-0.3869494680489541,-0.09410394805351384,-5.061311311311312,-2.254428341384862,6.044723969252286,0.0,0.0,0.0,144,126
Eric Gordon,-0.07442740356691684,0.034252948969618606,0.12908306585080373,364,148,109,107,6,4,0,-0.07341286404909113,0.02561265892607809,354,142,105,107,0.12908306585080373,5,3,2,0,5,3,2,0,-0.1799521333263795,-0.047423411065013105,-0.12908306585080373,0.12990151711364303,0.5183192184379712,-0.12908306585080373,-12.783053323593862,-21.051326555913718,-100.0,-7.25446428571429,22.17412217412218,-24.087413877952734,128,63
Stephen Curry,0.03208486106522191,0.00564950014937394,0.14544745407555065,608,223,149,236,22,19,37,0.04034495994148735,-0.022876259725843857,530,201,130,199,0.13567922350538345,16,6,4,6,62,16,15,31,-0.23595139026475698,0.005357129641268738,0.08111453425308432,-0.026643356738665677,0.281927313522825,0.058665006743256615,-20.459641255605376,2.810402684563762,26.403601694915267,-13.272543059777108,5.110602593440139,-17.48933523321319,188,138
Klay Thompson,0.0030081615207896493,0.0006738312350866064,0.05809454085100622,424,204,99,121,23,10,17,-0.009995343007532301,-0.014937244063726932,374,181,89,104,0.03884500878733134,11,5,2,4,39,18,8,13,0.11571071958224989,0.1186424393919589,0.19315198133090355,0.1152311847703572,0.16352644697482763,0.119737342644696,-9.099264705882348,-18.560606060606066,13.274793388429762,10.396825396825404,-9.530583214793742,22.026679644604165,240,74
Ryan Anderson,-0.036765471786672624,0.02605041403513615,0.11677402104784015,432,219,81,132,11,7,9,-0.025808631128936554,0.037221278041362396,405,208,74,123,0.11511351472596218,17,5,6,6,10,6,1,3,-0.33778627275898704,-0.2668494160464638,0.1320867077520399,-0.11843612337487705,0.6962565117744556,-0.1911111373414487,8.058743675182045,85.91925258591925,46.683046683046705,6.232023010546506,-21.827651515151516,35.89462907224365,149,64
Evan Fournier,-0.07897013047451888,-0.046819480806367136,0.08785901659353798,348,163,88,97,8,1,8,-0.07769763245743637,-0.051431037653707934,331,155,87,89,0.08545545796840714,12,7,0,5,5,1,1,3,-0.09693171740913932,0.051431037653707934,0.1435008856778743,0.47110484507952505,0.4058170025659886,-0.16145308058389368,0.469144713099956,-76.7379679144385,68.82959369314734,0.0,0.0,0.0,121,61
Isaiah Thomas,-0.005807434664046587,-0.007667865372796623,0.11850258950767324,626,272,89,265,10,3,5,-0.010793974615413877,0.0065599238889325305,608,262,86,260,0.11637847885116157,14,8,1,5,4,2,2,0,0.06849206153711238,-0.1604060777350864,0.11257786479511989,0.40420118723750253,-0.5529335832794043,-0.11637847885116157,27.85947712418302,17.228464419475653,-34.38155136268344,0.0,0.0,0.0,124,112
Gordon Hayward,-0.04456067139351895,0.013052254690876994,0.05434529167570542,668,281,128,259,15,5,13,-0.04608765503016075,0.010649420990332285,635,266,123,246,0.05696691046907051,11,7,1,3,22,8,4,10,0.15717259087787078,-0.16449557483648614,-0.15323550956424656,-0.08389071678109408,0.11801457212655253,-0.021929273878882168,-6.3167259786476855,-31.44531250000001,-11.911196911196908,-9.007352941176471,-16.948198198198195,9.561316051844448,128,111
