PLAYER_NAME,SHOT_MADE_FLAG,LOC_X,LOC_Y,high_pres
Andre Drummond,0,-17.0,-6.0,0
Paul Millsap,1,76.0,95.0,0
Al Horford,0,-117.0,164.0,0
Paul Millsap,1,123.0,3.0,0
Jeff Teague,0,-2.0,154.0,0
Reggie Jackson,1,-25.0,239.0,0
Jeff Teague,0,12.0,2.0,0
Andre Drummond,0,-9.0,62.0,0
Jeff Teague,1,15.0,-1.0,0
Andre Drummond,1,0.0,1.0,0
Al Horford,0,-30.0,183.0,0
Marcus Morris,1,0.0,1.0,0
Ersan Ilyasova,1,63.0,234.0,0
Marcus Morris,1,156.0,120.0,0
Thabo Sefolosha,0,232.0,-1.0,0
Jeff Teague,0,-132.0,11.0,0
Tiago Splitter,1,0.0,-1.0,0
Marcus Morris,0,10.0,2.0,0
Marcus Morris,0,-1.0,2.0,0
Kentavious Caldwell-Pope,0,-4.0,110.0,0
Tiago Splitter,0,4.0,7.0,0
Paul Millsap,1,-2.0,2.0,0
Reggie Jackson,1,-40.0,85.0,0
Dennis Schroder,1,14.0,-1.0,0
Stanley Johnson,0,64.0,198.0,0
Thabo Sefolosha,0,158.0,111.0,0
Andre Drummond,1,-2.0,2.0,0
Thabo Sefolosha,1,12.0,0.0,0
Marcus Morris,0,-202.0,139.0,0
Dennis Schroder,0,15.0,2.0,0
Paul Millsap,0,-16.0,80.0,0
Paul Millsap,0,-235.0,0.0,0
Dennis Schroder,1,17.0,-1.0,0
Marcus Morris,0,135.0,170.0,0
Lamar Patterson,1,-227.0,16.0,0
Dennis Schroder,0,15.0,-6.0,0
Mike Muscala,0,12.0,149.0,0
Dennis Schroder,1,15.0,-5.0,0
Kent Bazemore,0,12.0,-1.0,0
Aron Baynes,0,-73.0,11.0,0
Al Horford,1,2.0,46.0,0
Stanley Johnson,1,235.0,11.0,0
Steve Blake,0,-12.0,3.0,0
Jeff Teague,1,101.0,129.0,0
Ersan Ilyasova,1,-166.0,198.0,0
Jeff Teague,1,-1.0,-1.0,0
Steve Blake,0,-235.0,7.0,0
Jeff Teague,1,17.0,-1.0,0
Ersan Ilyasova,0,228.0,2.0,0
Kentavious Caldwell-Pope,0,-6.0,178.0,0
Jeff Teague,0,-7.0,-5.0,0
Andre Drummond,0,14.0,51.0,0
Tiago Splitter,0,10.0,-6.0,0
Kentavious Caldwell-Pope,1,-197.0,149.0,0
Marcus Morris,0,-184.0,51.0,0
Al Horford,1,138.0,3.0,0
Jeff Teague,0,-17.0,-1.0,0
Kentavious Caldwell-Pope,1,0.0,1.0,0
Kyle Korver,0,-171.0,190.0,0
Jeff Teague,0,-163.0,-6.0,0
Andre Drummond,0,20.0,43.0,0
Marcus Morris,0,-2.0,-6.0,0
Reggie Jackson,0,148.0,3.0,0
Paul Millsap,0,10.0,7.0,0
Kent Bazemore,0,-183.0,174.0,0
Andre Drummond,0,-91.0,51.0,0
Reggie Jackson,1,-16.0,-5.0,1
Kentavious Caldwell-Pope,1,-73.0,170.0,1
Kentavious Caldwell-Pope,1,176.0,193.0,0
Andre Drummond,1,-6.0,2.0,0
Andre Drummond,0,-4.0,80.0,0
Paul Millsap,1,-151.0,198.0,0
Ersan Ilyasova,1,-14.0,2.0,0
Paul Millsap,0,9.0,242.0,1
Tiago Splitter,1,0.0,1.0,1
Dennis Schroder,1,-150.0,195.0,0
Paul Millsap,1,15.0,-5.0,0
Dennis Schroder,0,-151.0,200.0,1
Dennis Schroder,1,228.0,11.0,1
Marcus Morris,1,35.0,193.0,1
Andre Drummond,0,-7.0,-1.0,1
Andre Drummond,1,-2.0,-5.0,1
Paul Millsap,1,99.0,223.0,1
Kentavious Caldwell-Pope,0,-12.0,56.0,1
Andre Drummond,1,0.0,1.0,1
Dennis Schroder,0,10.0,244.0,1
Al Horford,1,14.0,-1.0,1
Aron Baynes,1,0.0,1.0,1
Dennis Schroder,1,0.0,18.0,1
Aron Baynes,1,0.0,1.0,1
Stanley Johnson,0,-127.0,18.0,1
Jodie Meeks,1,9.0,-5.0,1
Al Horford,1,177.0,26.0,1
Aron Baynes,1,-161.0,11.0,1
Mike Scott,0,-32.0,249.0,1
Paul Millsap,0,-235.0,-1.0,1
Steve Blake,0,-230.0,7.0,1
Mike Scott,1,-6.0,2.0,1
Marcus Morris,0,148.0,115.0,1
Aron Baynes,0,-1.0,2.0,1
Marcus Morris,0,-150.0,31.0,0
Paul Millsap,0,110.0,149.0,0
Reggie Jackson,0,-119.0,242.0,0
Dennis Schroder,1,0.0,7.0,0
Mike Scott,0,79.0,232.0,0
Reggie Jackson,0,-16.0,-1.0,0
Andre Drummond,0,2.0,7.0,0
Ersan Ilyasova,0,-15.0,0.0,0
Ersan Ilyasova,1,4.0,-6.0,1
Kentavious Caldwell-Pope,0,-237.0,26.0,1
Kyle Korver,1,-73.0,242.0,0
Stanley Johnson,0,-86.0,7.0,0
Paul Millsap,0,-12.0,3.0,0
Andre Drummond,0,-2.0,-6.0,0
Ersan Ilyasova,0,1.0,-1.0,0
Marcus Morris,0,119.0,121.0,0
Jeff Teague,1,12.0,-6.0,0
Jeff Teague,1,-65.0,244.0,0
Jeff Teague,0,20.0,-1.0,0
Kyle Korver,0,45.0,247.0,0
Nikola Mirotic,0,19.0,21.0,0
Kevin Love,1,0.0,1.0,0
Derrick Rose,0,35.0,11.0,0
LeBron James,1,-191.0,65.0,0
Nikola Mirotic,0,-29.0,8.0,0
Nikola Mirotic,1,14.0,8.0,0
LeBron James,0,19.0,214.0,0
